segment;payment_type;customer_city;customer_state;total_payment;order_numbers
At Risk;boleto;sooretama;ES;159,03;1
At Risk;boleto;sumare;SP;1337,19;1
At Risk;boleto;taboao da serra;SP;318,48;2
At Risk;boleto;taio;SC;920,34;1
At Risk;boleto;teresina;PI;1247,13;2
At Risk;boleto;tupancireta;RS;158,91;1
At Risk;boleto;ubatuba;SP;562,77;2
At Risk;boleto;uberaba;MG;420,36;2
At Risk;boleto;vacaria;RS;161,4;1
At Risk;boleto;venda nova do imigrante;ES;216,63;1
At Risk;boleto;vicosa;MG;400,74;2
At Risk;boleto;videira;SC;256,08;1
At Risk;credit_card;aguai;SP;136,83;1
At Risk;credit_card;alfenas;MG;166,29;2
At Risk;credit_card;almenara;MG;339,21;1
At Risk;credit_card;altaneira;CE;353,6;1
At Risk;credit_card;alto do rodrigues;RN;438,01;1
At Risk;credit_card;americana;SP;376,2;2
At Risk;credit_card;amparo;SP;135,51;1
At Risk;credit_card;ampere;PR;156,03;3
At Risk;credit_card;andradina;SP;87,8;2
At Risk;credit_card;aparecida de goiania;GO;972,52;5
At Risk;credit_card;aperibe;RJ;159,03;1
At Risk;credit_card;aracaju;SE;44;2
At Risk;credit_card;aracati;CE;87,81;1
At Risk;credit_card;arapiraca;AL;158,19;2
At Risk;credit_card;araruama;RJ;273,25;2
At Risk;credit_card;araxa;MG;116,99;1
At Risk;credit_card;arcos;MG;349,08;1
At Risk;credit_card;assis;SP;789,24;2
At Risk;credit_card;atibaia;SP;309,72;1
At Risk;credit_card;balneario camboriu;SC;296,72;1
At Risk;credit_card;barbosa ferraz;PR;432,93;2
At Risk;credit_card;barra bonita;SP;139,6;3
At Risk;credit_card;barroso;MG;168,3;1
At Risk;credit_card;barueri;SP;856,29;4
At Risk;credit_card;bauru;SP;798,76;3
At Risk;credit_card;belem;PA;1614,17;4
At Risk;credit_card;belo horizonte;MG;2777,23;18
At Risk;credit_card;bento goncalves;RS;227,27;2
At Risk;credit_card;betim;MG;489,97;2
At Risk;credit_card;birigui;SP;337,22;2
At Risk;credit_card;blumenau;SC;66,3;1
At Risk;credit_card;boituva;SP;194,62;2
At Risk;credit_card;bonfinopolis;GO;332,7;1
At Risk;credit_card;botucatu;SP;774,45;3
At Risk;credit_card;brasileia;AC;139,53;1
At Risk;credit_card;brasilia;DF;2502,17;14
At Risk;credit_card;brejo santo;CE;532,77;1
At Risk;credit_card;cabo frio;RJ;164,08;1
At Risk;credit_card;cafelandia;PR;381,39;2
At Risk;credit_card;camacari;BA;117,87;1
At Risk;credit_card;camaqua;RS;192,3;1
At Risk;credit_card;cambe;PR;199,92;1
At Risk;credit_card;cambui;MG;298,85;1
At Risk;credit_card;campinas;SP;1320,16;7
At Risk;credit_card;campo bom;RS;189,3;1
At Risk;credit_card;campo grande;MS;1084,59;5
At Risk;credit_card;campo limpo paulista;SP;502,98;1
At Risk;credit_card;campo mourao;PR;185,87;2
At Risk;credit_card;campos dos goytacazes;RJ;160,5;1
At Risk;credit_card;canoas;RS;233,1;1
At Risk;credit_card;capao bonito;SP;195,73;2
At Risk;credit_card;capao da canoa;RS;123;1
At Risk;credit_card;capivari;SP;51,01;1
At Risk;credit_card;carangola;MG;152,3;1
At Risk;credit_card;carapicuiba;SP;74,58;1
At Risk;credit_card;cariacica;ES;158,64;2
At Risk;credit_card;caruaru;PE;194,22;1
At Risk;credit_card;cascavel;CE;197,25;1
At Risk;credit_card;castelo do piaui;PI;330,69;1
At Risk;credit_card;catalao;GO;735,72;3
At Risk;credit_card;catanduva;SP;87,75;3
At Risk;credit_card;caxias do sul;RS;384,94;4
At Risk;credit_card;cerqueira cesar;SP;150,75;1
At Risk;credit_card;cerquilho;SP;202,02;2
At Risk;credit_card;chapadao do lageado;SC;321,9;1
At Risk;credit_card;claudio;MG;281,99;2
At Risk;credit_card;colatina;ES;127,89;1
At Risk;credit_card;contagem;MG;173,53;2
At Risk;credit_card;coroata;MA;473,55;2
At Risk;credit_card;corrente;PI;296,89;1
At Risk;credit_card;criciuma;SC;514,32;1
At Risk;credit_card;cuiaba;MT;226,74;1
At Risk;credit_card;curitiba;PR;786,09;4
At Risk;credit_card;diamantino;MT;191,1;3
At Risk;credit_card;divinopolis;MG;1891,41;2
At Risk;credit_card;dois vizinhos;PR;179,28;2
At Risk;credit_card;dom feliciano;RS;163,53;1
At Risk;credit_card;dourados;MS;153,33;3
At Risk;credit_card;duque de caxias;RJ;379,36;3
At Risk;credit_card;erechim;RS;374,15;3
At Risk;credit_card;feira de santana;BA;356,39;2
At Risk;credit_card;fernandopolis;SP;813,41;1
At Risk;credit_card;flores;PE;317,51;1
At Risk;credit_card;florianopolis;SC;1078,08;2
At Risk;credit_card;formosa;GO;231,94;1
At Risk;credit_card;fortaleza;CE;1125,5;5
At Risk;credit_card;franca;SP;288,64;2
At Risk;credit_card;francisco beltrao;PR;277,8;1
At Risk;credit_card;garca;SP;379,46;1
At Risk;credit_card;garopaba;SC;226,95;1
At Risk;credit_card;gaspar;SC;163,53;1
At Risk;credit_card;goianesia;GO;166,28;1
At Risk;credit_card;goiania;GO;1114,62;4
At Risk;credit_card;guaira;SP;110,54;1
At Risk;credit_card;guara;DF;130,99;2
At Risk;credit_card;guarai;TO;266,16;1
At Risk;credit_card;guarapari;ES;423,18;1
At Risk;credit_card;guaruja;SP;550,81;7
At Risk;credit_card;guarulhos;SP;871,22;5
At Risk;credit_card;ibate;SP;235,07;2
At Risk;credit_card;ibiuna;SP;277,25;2
At Risk;credit_card;iguaba grande;RJ;512,46;1
At Risk;credit_card;iguaracu;PR;659,2;2
At Risk;credit_card;ilheus;BA;376,58;2
At Risk;credit_card;indaiatuba;SP;296,97;3
At Risk;credit_card;ipatinga;MG;96;1
At Risk;credit_card;itabaiana;SE;255,86;2
At Risk;credit_card;itabuna;BA;289,92;2
At Risk;credit_card;itajai;SC;94,43;1
At Risk;credit_card;itajobi;SP;181,38;1
At Risk;credit_card;itamonte;MG;243,43;1
At Risk;credit_card;itapecerica da serra;SP;95,24;1
At Risk;credit_card;itapetininga;SP;354,33;1
At Risk;credit_card;itapira;SP;597,22;2
At Risk;credit_card;itarantim;BA;298,5;1
At Risk;credit_card;itatiba;SP;316,85;2
At Risk;credit_card;itauna;MG;138,03;1
At Risk;credit_card;itu;SP;157,85;1
At Risk;credit_card;itumbiara;GO;222,15;1
At Risk;credit_card;itupeva;SP;167,52;1
At Risk;credit_card;jaboticabal;SP;366,27;1
At Risk;credit_card;jaguariuna;SP;130,34;1
At Risk;credit_card;jales;SP;690,52;3
At Risk;credit_card;jatai;GO;617,24;1
At Risk;credit_card;joao pessoa;PB;298,55;1
At Risk;credit_card;jundiai;SP;560,8;4
At Risk;credit_card;lages;SC;283,06;1
At Risk;credit_card;lagoa santa;MG;136,92;1
At Risk;credit_card;laranjeiras do sul;PR;232,71;1
At Risk;credit_card;lencois paulista;SP;153,27;1
At Risk;credit_card;limeira;SP;159,49;2
At Risk;credit_card;londrina;PR;396,24;2
At Risk;credit_card;lucas do rio verde;MT;218,16;1
At Risk;credit_card;luis eduardo magalhaes;BA;152,73;1
At Risk;credit_card;malacacheta;MG;373,97;1
At Risk;credit_card;manaus;AM;447,09;1
At Risk;credit_card;maracaju;MS;163,53;1
At Risk;credit_card;marica;RJ;247,64;1
At Risk;credit_card;maringa;PR;1429,14;3
At Risk;credit_card;matupa;MT;145,88;1
At Risk;credit_card;mineiros;GO;338,84;1
At Risk;credit_card;mogi das cruzes;SP;973,04;9
At Risk;credit_card;mogi mirim;SP;248,87;3
At Risk;credit_card;monte aprazivel;SP;123,8;2
At Risk;credit_card;montenegro;RS;197,95;1
At Risk;credit_card;montes claros;MG;581,32;4
At Risk;credit_card;mossoro;RN;226,32;1
At Risk;credit_card;natal;RN;181,15;1
At Risk;credit_card;navegantes;SC;217,64;1
At Risk;credit_card;niteroi;RJ;2346,4;12
At Risk;credit_card;nova iguacu;RJ;1022,43;3
At Risk;credit_card;osasco;SP;195,25;2
At Risk;credit_card;osvaldo cruz;SP;107,22;1
At Risk;credit_card;ourilandia do norte;PA;675,09;1
At Risk;credit_card;ourinhos;SP;234,69;1
At Risk;credit_card;ouro fino;MG;270,66;1
At Risk;credit_card;ouro preto;MG;87,26;1
At Risk;credit_card;ouroeste;SP;220,02;1
At Risk;credit_card;pacuja;CE;538,39;1
At Risk;credit_card;palmeira das missoes;RS;433,44;2
At Risk;credit_card;palmital;SP;118,36;2
At Risk;credit_card;paranagua;PR;165;1
At Risk;credit_card;paranaita;MT;168,96;1
At Risk;credit_card;parauapebas;PA;281,18;3
At Risk;credit_card;paulista;PE;429,52;1
At Risk;credit_card;paulo de faria;SP;193,14;1
At Risk;credit_card;pedrinopolis;MG;158,14;1
At Risk;credit_card;pedro leopoldo;MG;120,93;1
At Risk;credit_card;pelotas;RS;120,24;1
At Risk;credit_card;penapolis;SP;376,51;1
At Risk;credit_card;perdoes;MG;137,98;2
At Risk;credit_card;peruibe;SP;1031,86;3
At Risk;credit_card;petrolina;PE;583,38;1
At Risk;credit_card;pinhais;PR;140,58;1
At Risk;credit_card;piracaia;SP;192,48;1
At Risk;credit_card;piracicaba;SP;321,12;2
At Risk;credit_card;pirai;RJ;160,5;1
At Risk;credit_card;pirapora;MG;160,5;1
At Risk;credit_card;pires do rio;GO;1810,5;1
At Risk;credit_card;pocos de caldas;MG;331,24;3
At Risk;credit_card;pomerode;SC;569,61;1
At Risk;credit_card;ponta grossa;PR;217,78;1
At Risk;credit_card;ponte nova;MG;399,9;2
At Risk;credit_card;porto alegre;RS;2983,89;11
At Risk;credit_card;porto seguro;BA;256,4;2
At Risk;credit_card;porto velho;RO;426,84;1
At Risk;credit_card;praia grande;SP;213,5;3
At Risk;credit_card;queimados;RJ;64,26;1
At Risk;credit_card;quirinopolis;GO;165,06;1
At Risk;credit_card;quixabeira;BA;205,9;1
At Risk;credit_card;recife;PE;3079,53;10
At Risk;credit_card;resende;RJ;381,69;1
At Risk;credit_card;ribeirao das neves;MG;1033,98;3
At Risk;credit_card;ribeirao preto;SP;3068,43;6
At Risk;credit_card;rio claro;SP;255,33;2
At Risk;credit_card;rio das ostras;RJ;400,44;1
At Risk;credit_card;rio de janeiro;RJ;10185,96;50
At Risk;credit_card;rolandia;PR;1097,31;1
At Risk;credit_card;rondonopolis;MT;317;1
At Risk;credit_card;rubiataba;GO;373,69;1
At Risk;credit_card;salvador;BA;2617,35;9
At Risk;credit_card;sanclerlandia;GO;332,5;2
At Risk;credit_card;santa luzia;MG;138,28;1
At Risk;credit_card;santa teresa;ES;303,12;2
At Risk;credit_card;santo anastacio;SP;244,58;2
At Risk;credit_card;santo andre;SP;1373,91;6
At Risk;credit_card;santo antonio da platina;PR;607,55;2
At Risk;credit_card;santos;SP;629,09;5
At Risk;credit_card;sao benedito;CE;95,87;1
At Risk;credit_card;sao bernardo do campo;SP;518,29;4
At Risk;credit_card;sao caetano do sul;SP;206,31;1
At Risk;credit_card;sao carlos;SP;269,18;2
At Risk;credit_card;sao joao da boa vista;SP;101,1;2
At Risk;credit_card;sao jose;SC;108;1
At Risk;credit_card;sao jose do rio preto;SP;1142,87;4
At Risk;credit_card;sao jose dos campos;SP;688,05;3
At Risk;credit_card;sao leopoldo;RS;250,57;2
At Risk;credit_card;sao luis;MA;233,4;1
At Risk;credit_card;sao miguel do oeste;SC;1296,99;2
At Risk;credit_card;sao paulo;SP;20926,27;93
At Risk;credit_card;sao roque;SP;166,29;1
At Risk;credit_card;sao vicente;SP;581,43;2
At Risk;credit_card;saquarema;RJ;442,11;1
At Risk;credit_card;senador amaral;MG;228;2
At Risk;credit_card;serra;ES;356,79;1
At Risk;credit_card;sete lagoas;MG;763,23;1
At Risk;credit_card;sidrolandia;MS;575,94;3
At Risk;credit_card;silva jardim;RJ;178,26;1
At Risk;credit_card;simoes filho;BA;342,09;1
At Risk;credit_card;sinop;MT;168,96;1
At Risk;credit_card;sorocaba;SP;858,39;4
At Risk;credit_card;sorriso;MT;193,44;1
At Risk;credit_card;suzano;SP;268,11;4
At Risk;credit_card;taboao da serra;SP;342,23;2
At Risk;credit_card;teixeira de freitas;BA;259,6;2
At Risk;credit_card;teofilo otoni;MG;147,3;1
At Risk;credit_card;teresina;PI;839,62;3
At Risk;credit_card;teresopolis;RJ;281,34;1
At Risk;credit_card;teutonia;RS;267,27;1
At Risk;credit_card;timoteo;MG;159,08;2
At Risk;credit_card;torres;RS;239,62;2
At Risk;credit_card;tramandai;RS;255,16;1
At Risk;credit_card;tres rios;RJ;364,86;3
At Risk;credit_card;triunfo;RS;215,56;1
At Risk;credit_card;tubarao;SC;382,59;2
At Risk;credit_card;tupaciguara;MG;255,56;1
At Risk;credit_card;uba;MG;199,28;2
At Risk;credit_card;uberaba;MG;325,92;1
At Risk;credit_card;uberlandia;MG;352,62;2
At Risk;credit_card;unai;MG;835,55;1
At Risk;credit_card;vargem grande paulista;SP;590,37;1
At Risk;credit_card;venancio aires;RS;225,51;2
At Risk;credit_card;videira;SC;2480,58;1
At Risk;credit_card;vila velha;ES;294,83;3
At Risk;credit_card;vitoria;ES;803,81;5
At Risk;credit_card;vitoria de santo antao;PE;184,26;1
At Risk;debit_card;belo horizonte;MG;281,64;2
At Risk;debit_card;itabira;MG;199,95;1
At Risk;debit_card;primavera do leste;MT;375,82;1
At Risk;debit_card;santos;SP;283,38;2
At Risk;debit_card;sao paulo;SP;231,68;3
At Risk;voucher;aracaju;SE;136,37;2
At Risk;voucher;belo horizonte;MG;75,97;1
At Risk;voucher;boituva;SP;57,53;1
At Risk;voucher;brasilia;DF;135,41;2
At Risk;voucher;cambui;MG;100;1
At Risk;voucher;cerquilho;SP;130,63;2
At Risk;voucher;claudio;MG;306,72;2
At Risk;voucher;contagem;MG;181,86;1
At Risk;voucher;divinopolis;MG;195,1;1
At Risk;voucher;duque de caxias;RJ;290,53;1
At Risk;voucher;erechim;RS;77,61;3
At Risk;voucher;fortaleza;CE;151,64;1
At Risk;voucher;guaruja;SP;307,37;2
At Risk;voucher;guarulhos;SP;400,72;2
At Risk;voucher;mogi das cruzes;SP;50;1
At Risk;voucher;monte aprazivel;SP;50;2
At Risk;voucher;porto alegre;RS;395,47;2
At Risk;voucher;recife;PE;100;1
At Risk;voucher;ribeirao preto;SP;193,73;1
At Risk;voucher;rio de janeiro;RJ;33,7;1
At Risk;voucher;salvador;BA;100;1
At Risk;voucher;santa luzia;MG;46,04;1
At Risk;voucher;sao benedito;CE;100;1
At Risk;voucher;sao jose do rio preto;SP;23,53;1
At Risk;voucher;sao paulo;SP;569,96;7
At Risk;voucher;tijucas;SC;245,2;3
At Risk;voucher;uba;MG;294,31;1
At Risk;voucher;vitoria;ES;158,95;1
Champion;boleto;amparo;SP;190,38;2
Champion;boleto;atibaia;SP;472,8;1
Champion;boleto;brasilia;DF;136,26;1
Champion;boleto;cachoeirinha;RS;1254,01;3
Champion;boleto;campina grande;PB;2844,96;1
Champion;boleto;cariacica;ES;329,16;1
Champion;boleto;florianopolis;SC;484,32;2
Champion;boleto;herval d'oeste;SC;368,94;1
Champion;boleto;icara;SC;261,54;1
Champion;boleto;itapolis;SP;425,34;1
Champion;boleto;niteroi;RJ;839,77;1
Champion;boleto;ponta grossa;PR;482,6;2
Champion;boleto;queimados;RJ;179,76;1
Champion;boleto;recife;PE;383,27;2
Champion;boleto;rio de janeiro;RJ;1351,44;1
Champion;boleto;rio verde;GO;540,76;1
Champion;boleto;rosario do sul;RS;144,78;1
Champion;boleto;sao joao nepomuceno;MG;1381,41;2
Champion;boleto;sao jose do rio preto;SP;2020,86;2
Champion;boleto;sao paulo;SP;1004,36;6
Champion;boleto;sao sebastiao do cai;RS;741,3;1
Champion;credit_card;belo horizonte;MG;244,02;1
Champion;credit_card;belo oriente;MG;494,1;1
Champion;credit_card;brasilia;DF;544,41;1
Champion;credit_card;campo novo do parecis;MT;3242,84;1
Champion;credit_card;caraguatatuba;SP;348,78;1
Champion;credit_card;chapeco;SC;342,77;2
Champion;credit_card;cuiaba;MT;217,18;1
Champion;credit_card;curitiba;PR;100,95;1
Champion;credit_card;florianopolis;SC;393,83;2
Champion;credit_card;fortaleza;CE;288,6;1
Champion;credit_card;garanhuns;PE;1094,63;6
Champion;credit_card;guarulhos;SP;741,33;1
Champion;credit_card;ipua;SP;1157,28;1
Champion;credit_card;jundiai;SP;921,24;1
Champion;credit_card;limeira;SP;726,33;2
Champion;credit_card;niteroi;RJ;1116,54;5
Champion;credit_card;osasco;SP;193,32;1
Champion;credit_card;palmas;TO;356,1;1
Champion;credit_card;petropolis;RJ;1999,68;2
Champion;credit_card;porto alegre;RS;4655,91;4
Champion;credit_card;porto ferreira;SP;280,8;1
Champion;credit_card;porto seguro;BA;765,84;1
Champion;credit_card;presidente prudente;SP;404,28;1
Champion;credit_card;presidente venceslau;SP;297,02;1
Champion;credit_card;recife;PE;739,45;5
Champion;credit_card;ribeirao das neves;MG;206,42;2
Champion;credit_card;rio branco;AC;646,44;1
Champion;credit_card;rio de janeiro;RJ;1112,34;7
Champion;credit_card;santos;SP;1150,32;9
Champion;credit_card;sao bernardo do campo;SP;503,28;1
Champion;credit_card;sao caetano do sul;SP;490,41;5
Champion;credit_card;sao paulo;SP;5264,2;37
Champion;credit_card;sumare;SP;167,28;1
Champion;credit_card;teofilo otoni;MG;1011,02;2
Champion;credit_card;valinhos;SP;1638,35;1
Champion;credit_card;vitoria;ES;751,08;1
Champion;voucher;amparo;SP;432,18;1
Champion;voucher;florianopolis;SC;53,45;1
Champion;voucher;niteroi;RJ;39,97;1
Hibernating;boleto;abaete;MG;123,89;1
Hibernating;boleto;abre campo;MG;42,92;1
Hibernating;boleto;abreu e lima;PE;114,27;2
Hibernating;boleto;acailandia;MA;183,84;1
Hibernating;boleto;acarau;CE;241,27;1
Hibernating;boleto;acopiara;CE;128,09;1
Hibernating;boleto;adamantina;SP;475,75;4
Hibernating;boleto;afogados da ingazeira;PE;88,72;1
Hibernating;boleto;agua clara;MS;151,39;1
Hibernating;boleto;agua comprida;MG;44;1
Hibernating;boleto;aguas belas;PE;60,62;1
Hibernating;boleto;aguas claras;RS;116,96;1
Hibernating;boleto;aguas de lindoia;SP;65,87;1
Hibernating;boleto;aguas lindas de goias;GO;268,66;2
Hibernating;boleto;aguas vermelhas;MG;251,29;1
Hibernating;boleto;alagoinhas;BA;262,3;3
Hibernating;boleto;alegre;ES;116,94;1
Hibernating;boleto;alegrete;RS;796,19;6
Hibernating;boleto;alem paraiba;MG;288,1;3
Hibernating;boleto;alexania;GO;43;1
Hibernating;boleto;alfenas;MG;324,71;2
Hibernating;boleto;alfredo chaves;ES;122,27;1
Hibernating;boleto;almirante tamandare do sul;RS;65;1
Hibernating;boleto;alpestre;RS;136,98;1
Hibernating;boleto;alta floresta;MT;1000,03;2
Hibernating;boleto;alta floresta d'oeste;RO;215,06;1
Hibernating;boleto;altamira;PA;94,12;1
Hibernating;boleto;altinho;PE;398,88;1
Hibernating;boleto;alto alegre;PR;124,52;1
Hibernating;boleto;alto araguaia;MT;62,74;1
Hibernating;boleto;alto horizonte;GO;71,05;1
Hibernating;boleto;alto paraiso;RO;1260,76;1
Hibernating;boleto;alto parnaiba;MA;63,15;1
Hibernating;boleto;alto piquiri;PR;432,5;1
Hibernating;boleto;alto taquari;MT;140,29;1
Hibernating;boleto;altos;PI;594,4;3
Hibernating;boleto;aluminio;SP;155,73;1
Hibernating;boleto;alvinopolis;MG;106,38;1
Hibernating;boleto;alvorada;RS;531,04;5
Hibernating;boleto;americana;SP;1527,08;17
Hibernating;boleto;americo brasiliense;SP;91,96;1
Hibernating;boleto;ametista do sul;RS;61,4;1
Hibernating;boleto;amparo;SP;320,08;3
Hibernating;boleto;ananindeua;PA;189,59;4
Hibernating;boleto;anapolis;GO;961,88;10
Hibernating;boleto;anaurilandia;MS;86,24;1
Hibernating;boleto;anchieta;ES;272,88;2
Hibernating;boleto;anchieta;SC;254,79;2
Hibernating;boleto;andradas;MG;1677,31;1
Hibernating;boleto;andradina;SP;1215,93;4
Hibernating;boleto;angatuba;SP;260,35;2
Hibernating;boleto;angra dos reis;RJ;1177,81;7
Hibernating;boleto;angulo;PR;194,8;1
Hibernating;boleto;anicuns;GO;165,35;2
Hibernating;boleto;anita garibaldi;SC;90,88;1
Hibernating;boleto;anta gorda;RS;471,21;2
Hibernating;boleto;antonio cardoso;BA;231,12;1
Hibernating;boleto;aparecida;SP;493,37;2
Hibernating;boleto;aparecida de goiania;GO;710,72;7
Hibernating;boleto;aparecida do taboado;MS;58,82;1
Hibernating;boleto;aparecida d'oeste;SP;31,75;1
Hibernating;boleto;aperibe;RJ;118,17;1
Hibernating;boleto;apiai;SP;67;1
Hibernating;boleto;apodi;RN;125,94;1
Hibernating;boleto;apucarana;PR;1010,75;7
Hibernating;boleto;aquiraz;CE;79,8;1
Hibernating;boleto;aracaju;SE;2183,44;13
Hibernating;boleto;aracati;CE;55;1
Hibernating;boleto;aracatuba;SP;1166,72;12
Hibernating;boleto;aracruz;ES;66,79;1
Hibernating;boleto;aracuai;MG;101,34;1
Hibernating;boleto;araguaina;TO;363,04;5
Hibernating;boleto;araguari;MG;1230,24;7
Hibernating;boleto;arame;MA;64,14;1
Hibernating;boleto;arandu;SP;76,08;1
Hibernating;boleto;arapiraca;AL;654,45;2
Hibernating;boleto;arapongas;PR;229,65;2
Hibernating;boleto;arapoti;PR;111,02;1
Hibernating;boleto;araquari;SC;77,57;1
Hibernating;boleto;ararangua;SC;67,53;1
Hibernating;boleto;araraquara;SP;1457,01;8
Hibernating;boleto;araras;SP;1550,01;8
Hibernating;boleto;araripina;PE;207,79;1
Hibernating;boleto;araruama;RJ;899,43;4
Hibernating;boleto;araruna;PR;63,59;1
Hibernating;boleto;araucaria;PR;491,76;6
Hibernating;boleto;araujos;MG;36,28;1
Hibernating;boleto;araxa;MG;2117,2;7
Hibernating;boleto;arcos;MG;223,78;1
Hibernating;boleto;arcoverde;PE;89,08;1
Hibernating;boleto;aribice;BA;76,15;1
Hibernating;boleto;arinos;MG;90,88;1
Hibernating;boleto;aripuana;MT;765,97;4
Hibernating;boleto;ariranha;SP;75,07;1
Hibernating;boleto;arraial do cabo;RJ;448,05;4
Hibernating;boleto;arroio do meio;RS;265,82;2
Hibernating;boleto;arroio grande;RS;143,12;1
Hibernating;boleto;artur nogueira;SP;23,78;1
Hibernating;boleto;aruja;SP;539,33;4
Hibernating;boleto;arvoredo;SC;49,4;1
Hibernating;boleto;ascurra;SC;62,01;1
Hibernating;boleto;assis;SP;521,58;3
Hibernating;boleto;assis chateaubriand;PR;78,09;1
Hibernating;boleto;astolfo dutra;MG;412,16;1
Hibernating;boleto;atalanta;SC;351;1
Hibernating;boleto;ataleia;MG;200,69;2
Hibernating;boleto;atibaia;SP;562,56;9
Hibernating;boleto;avare;SP;455,75;4
Hibernating;boleto;avelino lopes;PI;56,14;1
Hibernating;boleto;bacabal;MA;58,14;1
Hibernating;boleto;baependi;MG;556,09;1
Hibernating;boleto;bage;RS;490,14;5
Hibernating;boleto;baixa grande do ribeiro;PI;213,47;1
Hibernating;boleto;balneario camboriu;SC;1078,02;7
Hibernating;boleto;balsas;MA;2064,21;4
Hibernating;boleto;bambui;MG;422,64;3
Hibernating;boleto;bandeirantes d'oeste;SP;65,09;1
Hibernating;boleto;barao de cocais;MG;31;1
Hibernating;boleto;barbacena;MG;1159,96;8
Hibernating;boleto;barbalha;CE;255,02;2
